categoryKey	familyId	effectType	familyParameters	familyStringArrayValues	sampleId	sampleLabel	sampleDescription	sampleValue	sampleParameters	sampleStatScale	sampleEffects	magnitude	selection	expectedEffectSummary	expectedStatusEffectId	expectedNotes	expectedStatus
attack	damageDealtMultiplierAgainst.undead	damageDealtMultiplierAgainst		targetRaceIds=[7,14]	113	[×2.0] 対不死与ダメ倍率	不死の敵へのすべての攻撃で与えるダメージが2.0倍になる。	multiplier=2				1	max	effectType=damageDealtMultiplierAgainst;value.multiplier=2;array.targetRaceIds=[7,14]			auto
attack	damageDealtMultiplierAgainst.dragon	damageDealtMultiplierAgainst		targetRaceIds=[11]	114	[×1.1] 対竜族与ダメ倍率	竜族の敵へのすべての攻撃で与えるダメージが1.1倍になる。	multiplier=1.1				0.1	min	effectType=damageDealtMultiplierAgainst;value.multiplier=1.1;array.targetRaceIds=[11]			auto
attack	damageDealtMultiplierAgainst.dragon	damageDealtMultiplierAgainst		targetRaceIds=[11]	120	[×2.0] 対竜族与ダメ倍率	竜族の敵へのすべての攻撃で与えるダメージが2.0倍になる。	multiplier=2				1	max	effectType=damageDealtMultiplierAgainst;value.multiplier=2;array.targetRaceIds=[11]			auto
attack	damageDealtMultiplierAgainst.divine	damageDealtMultiplierAgainst		targetRaceIds=[5]	121	[×1.1] 対神魔与ダメ倍率	神魔の敵へのすべての攻撃で与えるダメージが1.1倍になる。	multiplier=1.1				0.1	min	effectType=damageDealtMultiplierAgainst;value.multiplier=1.1;array.targetRaceIds=[5]			auto
attack	damageDealtMultiplierAgainst.divine	damageDealtMultiplierAgainst		targetRaceIds=[5]	125	[×2.0] 対神魔与ダメ倍率	神魔の敵へのすべての攻撃で与えるダメージが2.0倍になる。	multiplier=2				1	max	effectType=damageDealtMultiplierAgainst;value.multiplier=2;array.targetRaceIds=[5]			auto
attack	rowProfile.near	rowProfile			126	[隊列] 近距離攻撃	近接攻撃に適性を持つ。前列での攻撃力が上がる。		profile=near				idMin	effectType=rowProfile;param.profile=near		rowProfile	standard
attack	rowProfile.near	rowProfile			127	[隊列] 近距離攻撃適正	近接攻撃に適性を持つ。前列での攻撃力が上がる。		nearApt=true;profile=near				idMax	effectType=rowProfile;param.profile=near;param.nearApt=true		rowProfile	standard
attack	rowProfile.far	rowProfile			128	[隊列] 遠距離攻撃	遠距離攻撃に適性を持つ。後列からでも攻撃力が下がらない。		profile=far				idMin	effectType=rowProfile;param.profile=far		rowProfile	standard
attack	rowProfile.far	rowProfile			129	[隊列] 遠距離攻撃適正	遠距離攻撃に適性を持つ。後列からでも攻撃力が下がらない。		farApt=true;profile=far				idMax	effectType=rowProfile;param.profile=far;param.farApt=true		rowProfile	standard
attack	rowProfile.mixed	rowProfile			130	[隊列] 遠近混合	遠近混合の攻撃特性を持つ。		profile=mixed				idMin	effectType=rowProfile;param.profile=mixed		rowProfile	standard
attack	rowProfile.mixed	rowProfile			133	[隊列] 遠近混合・両適正	遠近混合の攻撃特性を持つ。		farApt=true;nearApt=true;profile=mixed				idMax	effectType=rowProfile;param.profile=mixed;param.nearApt=true;param.farApt=true		rowProfile	standard
attack	rowProfile.balanced	rowProfile			134	[隊列] 遠近両用	遠近両用の攻撃特性を持つ。前列でも後列でも攻撃力が安定する。		profile=balanced				idMin	effectType=rowProfile;param.profile=balanced		rowProfile	standard
attack	rowProfile.balanced	rowProfile			137	[隊列] 遠近両用・両適正	遠近両用の攻撃特性を持つ。前列でも後列でも攻撃力が安定する。		farApt=true;nearApt=true;profile=balanced				idMax	effectType=rowProfile;param.profile=balanced;param.nearApt=true;param.farApt=true		rowProfile	standard
attack	additionalDamageScore.additive	additionalDamageScoreAdditive			138	[+1] 追加ダメージ	攻撃時に追加で1ダメージを与える。	additive=1				1	min	effectType=additionalDamageScoreAdditive;value.additive=1			auto
attack	additionalDamageScore.additive	additionalDamageScoreAdditive			158	[+25] 追加ダメージ	攻撃時に追加で25ダメージを与える。	additive=25				25	max	effectType=additionalDamageScoreAdditive;value.additive=25			auto
attack	additionalDamageScore.multiplier	additionalDamageScoreMultiplier			159	[1.05倍] 追加ダメージ倍率	追加ダメージが1.05倍になる。	multiplier=1.05				0.05	min	effectType=additionalDamageScoreMultiplier;value.multiplier=1.05			auto
attack	additionalDamageScore.multiplier	additionalDamageScoreMultiplier			1509	[2.50倍] 追加ダメージ倍率	追加ダメージが2.5倍になる。	multiplier=2.5				1.5	max	effectType=additionalDamageScoreMultiplier;value.multiplier=2.5			auto
attack	spellPowerPercent.general	spellPowerPercent			173	[+5%] 魔法威力補正	魔法攻撃の威力が5%増加する。	valuePercent=5				5	min	effectType=spellPowerPercent;value.valuePercent=5			auto
attack	spellPowerPercent.general	spellPowerPercent			170	[-80%] 魔法威力補正	魔法攻撃の威力が80%減少する。	valuePercent=-80				80	max	effectType=spellPowerPercent;value.valuePercent=-80			auto
attack	spellPowerMultiplier.general	spellPowerMultiplier			197	[×1.10] 魔法威力倍率	魔法攻撃の威力が1.1倍になる。	multiplier=1.1				0.1	min	effectType=spellPowerMultiplier;value.multiplier=1.1			auto
attack	spellPowerMultiplier.general	spellPowerMultiplier			207	[×5.00] 魔法威力倍率	魔法攻撃の威力が5.0倍になる。	multiplier=5				4	max	effectType=spellPowerMultiplier;value.multiplier=5			auto
attack	tacticMagicPowerAmplify	timedMagicPowerAmplify			208	[T5] 魔法威力強化	5ターン目に味方全員の魔法攻撃の威力が1.6倍になる。	multiplier=1.6;triggerTurn=5				5	min	effectType=timedMagicPowerAmplify;value.multiplier=1.6;value.triggerTurn=5		turn-table	standard
attack	tacticMagicPowerAmplify	timedMagicPowerAmplify			211	[T20] 魔法威力強化	20ターン目に味方全員の魔法攻撃の威力が5.0倍になる。	multiplier=5;triggerTurn=20				20	max	effectType=timedMagicPowerAmplify;value.multiplier=5;value.triggerTurn=20		turn-table	standard
attack	tacticBreathPowerAmplify	timedBreathPowerAmplify			212	[Lv1/T1] ブレス強化	1ターン目に味方全員のブレス攻撃の威力が1.3倍になる。	multiplier=1.3;triggerTurn=1				1	min	effectType=timedBreathPowerAmplify;value.multiplier=1.3;value.triggerTurn=1		level-table	standard
attack	tacticBreathPowerAmplify	timedBreathPowerAmplify			217	[Lv20/T20] ブレス強化	20ターン目に味方全員のブレス攻撃の威力が10.0倍になる。	multiplier=10;triggerTurn=20				20	max	effectType=timedBreathPowerAmplify;value.multiplier=10;value.triggerTurn=20		level-table	standard
attack	spellSpecificMultiplier.spell.mage.magic_arrow	spellSpecificMultiplier	spellId=0		218	[×1.10] マジックアロー威力	マジックアローの威力が1.1倍になる。	multiplier=1.1				0.1	min	effectType=spellSpecificMultiplier;param.spellId=0;value.multiplier=1.1			auto
attack	spellSpecificMultiplier.spell.mage.magic_arrow	spellSpecificMultiplier	spellId=0		225	[×3.00] マジックアロー威力	マジックアローの威力が3.0倍になる。	multiplier=3				2	max	effectType=spellSpecificMultiplier;param.spellId=0;value.multiplier=3			auto
attack	spellSpecificMultiplier.spell.mage.fireball	spellSpecificMultiplier	spellId=2		226	[×1.10] ファイヤーボール威力	ファイヤーボールの威力が1.1倍になる。	multiplier=1.1				0.1	min	effectType=spellSpecificMultiplier;param.spellId=2;value.multiplier=1.1			auto
attack	spellSpecificMultiplier.spell.mage.fireball	spellSpecificMultiplier	spellId=2		232	[×2.00] ファイヤーボール威力	ファイヤーボールの威力が2.0倍になる。	multiplier=2				1	max	effectType=spellSpecificMultiplier;param.spellId=2;value.multiplier=2			auto
attack	spellSpecificMultiplier.spell.mage.blizzard	spellSpecificMultiplier	spellId=3		233	[×1.10] ブリザード威力	ブリザードの威力が1.1倍になる。	multiplier=1.1				0.1	min	effectType=spellSpecificMultiplier;param.spellId=3;value.multiplier=1.1			auto
attack	spellSpecificMultiplier.spell.mage.blizzard	spellSpecificMultiplier	spellId=3		238	[×2.00] ブリザード威力	ブリザードの威力が2.0倍になる。	multiplier=2				1	max	effectType=spellSpecificMultiplier;param.spellId=3;value.multiplier=2			auto
attack	spellSpecificMultiplier.spell.mage.thunder_bolt	spellSpecificMultiplier	spellId=5		239	[×1.10] サンダーボルト威力	サンダーボルトの威力が1.1倍になる。	multiplier=1.1				0.1	min	effectType=spellSpecificMultiplier;param.spellId=5;value.multiplier=1.1			auto
attack	spellSpecificMultiplier.spell.mage.thunder_bolt	spellSpecificMultiplier	spellId=5		244	[×2.00] サンダーボルト威力	サンダーボルトの威力が2.0倍になる。	multiplier=2				1	max	effectType=spellSpecificMultiplier;param.spellId=5;value.multiplier=2			auto
attack	spellSpecificMultiplier.spell.mage.nuclear	spellSpecificMultiplier	spellId=6		245	[×1.05] ニュークリア威力	ニュークリアの威力が1.05倍になる。	multiplier=1.05				0.05	min	effectType=spellSpecificMultiplier;param.spellId=6;value.multiplier=1.05			auto
attack	spellSpecificMultiplier.spell.mage.nuclear	spellSpecificMultiplier	spellId=6		256	[×2.00] ニュークリア威力	ニュークリアの威力が2.0倍になる。	multiplier=2				1	max	effectType=spellSpecificMultiplier;param.spellId=6;value.multiplier=2			auto
attack	spellSpecificMultiplier.spell.priest.heal	spellSpecificMultiplier	spellId=7		257	[×1.20] ヒール威力	ヒールの威力が1.2倍になる。	multiplier=1.2				0.2	min	effectType=spellSpecificMultiplier;param.spellId=7;value.multiplier=1.2			auto
attack	spellSpecificMultiplier.spell.priest.heal	spellSpecificMultiplier	spellId=7		259	[×1.50] ヒール威力	ヒールの威力が1.5倍になる。	multiplier=1.5				0.5	max	effectType=spellSpecificMultiplier;param.spellId=7;value.multiplier=1.5			auto
attack	spellSpecificMultiplier.spell.priest.heal_plus	spellSpecificMultiplier	spellId=10		260	[×1.40] ヒールプラス威力	ヒールプラスの威力が1.4倍になる。	multiplier=1.4				0.4	min	effectType=spellSpecificMultiplier;param.spellId=10;value.multiplier=1.4			auto
attack	spellSpecificMultiplier.spell.priest.heal_plus	spellSpecificMultiplier	spellId=10		261	[×1.50] ヒールプラス威力	ヒールプラスの威力が1.5倍になる。	multiplier=1.5				0.5	max	effectType=spellSpecificMultiplier;param.spellId=10;value.multiplier=1.5			auto
attack	spellSpecificMultiplier.spell.priest.party_heal	spellSpecificMultiplier	spellId=13		262	[×1.40] パーティヒール威力	パーティヒールの威力が1.4倍になる。	multiplier=1.4				0.4	min	effectType=spellSpecificMultiplier;param.spellId=13;value.multiplier=1.4			auto
attack	criticalChancePercent.add	criticalChancePercentAdditive			263	[+5] 必殺率加算	必殺率が5増加する。	points=5				5	min	effectType=criticalChancePercentAdditive;value.points=5			auto
attack	criticalChancePercent.add	criticalChancePercentAdditive			274	[+30] 必殺率加算	必殺率が30増加する。	points=30				30	max	effectType=criticalChancePercentAdditive;value.points=30			auto
attack	criticalChancePercent.cap	criticalChancePercentCap			275	[最大50%] 必殺率上限	必殺率の上限が50%になる。	cap=50				50	min	effectType=criticalChancePercentCap;value.cap=50			auto
attack	criticalChancePercent.cap	criticalChancePercentCap			279	[最大90%] 必殺率上限	必殺率の上限が50%になる。	cap=90				90	max	effectType=criticalChancePercentCap;value.cap=90			auto
attack	criticalDamagePercent	criticalDamagePercent			280	[+1%] 必殺威力補正	必殺ダメージが1%増加する。	valuePercent=1				1	min	effectType=criticalDamagePercent;value.valuePercent=1			auto
attack	criticalDamagePercent	criticalDamagePercent			302	[+50%] 必殺威力補正	必殺ダメージが50%増加する。	valuePercent=50				50	max	effectType=criticalDamagePercent;value.valuePercent=50			auto
attack	criticalDamageMultiplier	criticalDamageMultiplier			303	[×1.1] 必殺威力倍率	必殺ダメージが1.1倍になる。	multiplier=1.1				0.1	min	effectType=criticalDamageMultiplier;value.multiplier=1.1			auto
attack	criticalDamageMultiplier	criticalDamageMultiplier			309	[×2] 必殺威力倍率	必殺ダメージが2.0倍になる。	multiplier=2				1	max	effectType=criticalDamageMultiplier;value.multiplier=2			auto
attack	criticalChancePercent.max	criticalChancePercentMaxAbsolute			310	[最大50%] 必殺率上限	必殺率の上限が50%になる。	maxPercent=50				50	min	effectType=criticalChancePercentMaxAbsolute;value.maxPercent=50			auto
attack	criticalChancePercent.max	criticalChancePercentMaxAbsolute			314	[最大90%] 必殺率上限	必殺率の上限が90%になる。	maxPercent=90				90	max	effectType=criticalChancePercentMaxAbsolute;value.maxPercent=90			auto
attack	criticalChancePercent.maxDelta	criticalChancePercentMaxDelta			316	[最大+5%] 必殺率上限補正	必殺率の上限が5%増加する。	deltaPercent=5				5	min	effectType=criticalChancePercentMaxDelta;value.deltaPercent=5			auto
attack	criticalChancePercent.maxDelta	criticalChancePercentMaxDelta			315	[最大-35%] 必殺率上限補正	必殺率の上限が35%減少する。	deltaPercent=-35				35	max	effectType=criticalChancePercentMaxDelta;value.deltaPercent=-35			auto
attack	statConversionPercent.physicalDefenseScore.attackAndHit	statConversionPercent			320	[+10%] 攻防戦術	攻撃力と命中が防御力の10%だけ増加する。				statConversionPercent{sourceStat=physicalDefenseScore;targetStat=physicalAttackScore} value{valuePercent=10} / statConversionPercent{sourceStat=physicalDefenseScore;targetStat=hitScore} value{valuePercent=10}	10	min	effectType=statConversionPercent;param.sourceStat=physicalDefenseScore;param.targetStat=physicalAttackScore;value.valuePercent=10 / effectType=statConversionPercent;param.sourceStat=physicalDefenseScore;param.targetStat=hitScore;value.valuePercent=10		multi-conversion	manual
attack	statConversionPercent.physicalDefenseScore.attackAndHit	statConversionPercent			324	[+30%] 攻防戦術	攻撃力と命中が防御力の30%だけ増加する。				statConversionPercent{sourceStat=physicalDefenseScore;targetStat=physicalAttackScore} value{valuePercent=30} / statConversionPercent{sourceStat=physicalDefenseScore;targetStat=hitScore} value{valuePercent=30}	30	max	effectType=statConversionPercent;param.sourceStat=physicalDefenseScore;param.targetStat=physicalAttackScore;value.valuePercent=30 / effectType=statConversionPercent;param.sourceStat=physicalDefenseScore;param.targetStat=hitScore;value.valuePercent=30		multi-conversion	manual
attack	statConversionLinear.attackCount.criticalChancePercent	statConversionLinear			325	[×1%] 攻撃回数→必殺率	攻撃回数が半分になり、半減後の攻撃回数×1%だけ必殺率が増加する。				statConversionLinear{sourceStat=attackCount;targetStat=criticalChancePercent} value{valuePerUnit=1} / attackCountMultiplier value{multiplier=0.5}	1	min	effectType=statConversionLinear;param.sourceStat=attackCount;param.targetStat=criticalChancePercent;value.valuePerUnit=1 / effectType=attackCountMultiplier;value.multiplier=0.5		user-approved	manual
attack	statConversionLinear.attackCount.physicalDefenseScore	statConversionLinear			326	[×40] 攻撃回数→防御力	攻撃回数が半分になり、半減後の攻撃回数×40だけ防御力が増加する。				statConversionLinear{sourceStat=attackCount;targetStat=physicalDefenseScore} value{valuePerUnit=40} / attackCountMultiplier value{multiplier=0.5}	40	min	effectType=statConversionLinear;param.sourceStat=attackCount;param.targetStat=physicalDefenseScore;value.valuePerUnit=40 / effectType=attackCountMultiplier;value.multiplier=0.5		auto_removed	manual
attack	statConversionLinear.attackCount.evasionScore	statConversionLinear			327	[×40] 攻撃回数→回避能力	攻撃回数が半分になり、半減後の攻撃回数×40だけ回避能力が増加する。				statConversionLinear{sourceStat=attackCount;targetStat=evasionScore} value{valuePerUnit=40} / attackCountMultiplier value{multiplier=0.5}	40	min	effectType=statConversionLinear;param.sourceStat=attackCount;param.targetStat=evasionScore;value.valuePerUnit=40 / effectType=attackCountMultiplier;value.multiplier=0.5		auto_removed	manual
attack	statConversionLinear.attackCount.magicalAttackScore	statConversionLinear			328	[×40] 攻撃回数→魔法攻撃力	攻撃回数が半分になり、半減後の攻撃回数×40だけ魔法攻撃力が増加する。				statConversionLinear{sourceStat=attackCount;targetStat=magicalAttackScore} value{valuePerUnit=40} / attackCountMultiplier value{multiplier=0.5}	40	min	effectType=statConversionLinear;param.sourceStat=attackCount;param.targetStat=magicalAttackScore;value.valuePerUnit=40 / effectType=attackCountMultiplier;value.multiplier=0.5		auto_removed	manual
attack	statConversionLinear.attackCount.magicalDefenseScore	statConversionLinear			329	[×40] 攻撃回数→魔法防御力	攻撃回数が半分になり、半減後の攻撃回数×40だけ魔法防御力が増加する。				statConversionLinear{sourceStat=attackCount;targetStat=magicalDefenseScore} value{valuePerUnit=40} / attackCountMultiplier value{multiplier=0.5}	40	min	effectType=statConversionLinear;param.sourceStat=attackCount;param.targetStat=magicalDefenseScore;value.valuePerUnit=40 / effectType=attackCountMultiplier;value.multiplier=0.5		auto_removed	manual
attack	statConversionLinear.attackCount.magicalHealingScore	statConversionLinear			330	[×60] 攻撃回数→魔法回復量	攻撃回数が半分になり、半減後の攻撃回数×60だけ魔法回復量が増加する。				statConversionLinear{sourceStat=attackCount;targetStat=magicalHealingScore} value{valuePerUnit=60} / attackCountMultiplier value{multiplier=0.5}	60	min	effectType=statConversionLinear;param.sourceStat=attackCount;param.targetStat=magicalHealingScore;value.valuePerUnit=60 / effectType=attackCountMultiplier;value.multiplier=0.5		auto_removed	manual
attack	explorationTimeMultiplier.general	explorationTimeMultiplier			334	[×4/5] 探索時間短縮	探索時間が0.8倍になる。	multiplier=0.8				0.2	min	effectType=explorationTimeMultiplier;value.multiplier=0.8			auto
attack	explorationTimeMultiplier.general	explorationTimeMultiplier			331	[×1/2] 探索時間短縮	探索時間が0.5倍になる。	multiplier=0.5				0.5	max	effectType=explorationTimeMultiplier;value.multiplier=0.5			auto
attack	explorationTimeMultiplier.babel	explorationTimeMultiplier	dungeonName=バベルの塔		335	[×3/4] バベル探索時間短縮	バベルの塔での探索時間が0.75倍になる。	multiplier=0.75				0.25	min	effectType=explorationTimeMultiplier;value.multiplier=0.75			auto
attack	rewardExperience.percent	rewardExperiencePercent			336	[+10%] 獲得経験値ボーナス	獲得経験値が10.0%増加する。	valuePercent=10				10	min	effectType=rewardExperiencePercent;value.valuePercent=10			auto
attack	rewardExperience.percent	rewardExperiencePercent			345	[+100%] 獲得経験値ボーナス	獲得経験値が100.0%増加する。	valuePercent=100				100	max	effectType=rewardExperiencePercent;value.valuePercent=100			auto
attack	rewardExperience.multiplier	rewardExperienceMultiplier			352	[×1.10] 獲得経験値倍率	獲得経験値が1.1倍になる。	multiplier=1.1				0.1	min	effectType=rewardExperienceMultiplier;value.multiplier=1.1			auto
attack	rewardExperience.multiplier	rewardExperienceMultiplier			363	[×4.00] 獲得経験値倍率	獲得経験値が4.0倍になる。	multiplier=4				3	max	effectType=rewardExperienceMultiplier;value.multiplier=4			auto
attack	rewardGold.percent	rewardGoldPercent			364	[+40%] 取得GPボーナス	獲得GPが40.0%増加する。	valuePercent=40				40	min	effectType=rewardGoldPercent;value.valuePercent=40			auto
attack	rewardGold.percent	rewardGoldPercent			371	[+100%] 取得GPボーナス	獲得GPが100.0%増加する。	valuePercent=100				100	max	effectType=rewardGoldPercent;value.valuePercent=100			auto
attack	rewardGold.multiplier	rewardGoldMultiplier			376	[×1.10] 取得GP倍率	獲得GPが1.1倍になる。	multiplier=1.1				0.1	min	effectType=rewardGoldMultiplier;value.multiplier=1.1			auto
attack	rewardGold.multiplier	rewardGoldMultiplier			384	[×4.00] 取得GP倍率	獲得GPが4.0倍になる。	multiplier=4				3	max	effectType=rewardGoldMultiplier;value.multiplier=4			auto
attack	rewardTitle.percent	rewardTitlePercent			385	[+40%] 称号付与ボーナス	称号付与率が40.0%増加する。	valuePercent=40				40	min	effectType=rewardTitlePercent;value.valuePercent=40			auto
attack	rewardTitle.percent	rewardTitlePercent			389	[+100%] 称号付与ボーナス	称号付与率が100.0%増加する。	valuePercent=100				100	max	effectType=rewardTitlePercent;value.valuePercent=100			auto
attack	rewardTitle.multiplier	rewardTitleMultiplier			391	[×1.05] 称号付与倍率	称号付与率が1.05倍になる。	multiplier=1.05				0.05	min	effectType=rewardTitleMultiplier;value.multiplier=1.05			auto
attack	rewardTitle.multiplier	rewardTitleMultiplier			401	[×10.00] 称号付与倍率	称号付与率が10.0倍になる。	multiplier=10				9	max	effectType=rewardTitleMultiplier;value.multiplier=10			auto
attack	rewardItem.percent	rewardItemPercent			402	[+5%] アイテム獲得ボーナス	アイテム獲得率が5.0%増加する。	valuePercent=5				5	min	effectType=rewardItemPercent;value.valuePercent=5			auto
attack	rewardItem.percent	rewardItemPercent			410	[+40%] アイテム獲得ボーナス	アイテム獲得率が40.0%増加する。	valuePercent=40				40	max	effectType=rewardItemPercent;value.valuePercent=40			auto
attack	rewardItem.multiplier	rewardItemMultiplier			413	[×1.05] アイテム獲得倍率	アイテム獲得率が1.05倍になる。	multiplier=1.05				0.05	min	effectType=rewardItemMultiplier;value.multiplier=1.05			auto
attack	rewardItem.multiplier	rewardItemMultiplier			422	[×3.00] アイテム獲得倍率	アイテム獲得率が3.0倍になる。	multiplier=3				2	max	effectType=rewardItemMultiplier;value.multiplier=3			auto
attack	tacticSpellAmplify.magic_arrow	tacticSpellAmplify	spellId=0		423	[Lv1] マジックアロー強化	1ターン目にマジックアローの威力が1.3倍になる。	multiplier=1.3;triggerTurn=1				1	min	effectType=tacticSpellAmplify;param.spellId=0;value.multiplier=1.3;value.triggerTurn=1		level-table	standard
attack	tacticSpellAmplify.magic_arrow	tacticSpellAmplify	spellId=0		425	[Lv3] マジックアロー強化	3ターン目にマジックアローの威力が2.8倍になる。	multiplier=2.8;triggerTurn=3				3	max	effectType=tacticSpellAmplify;param.spellId=0;value.multiplier=2.8;value.triggerTurn=3		level-table	standard
attack	tacticSpellAmplify.fireball	tacticSpellAmplify	spellId=2		426	[Lv1] ファイヤーボール強化	1ターン目にファイヤーボールの威力が1.3倍になる。	multiplier=1.3;triggerTurn=1				1	min	effectType=tacticSpellAmplify;param.spellId=2;value.multiplier=1.3;value.triggerTurn=1		level-table	standard
attack	tacticSpellAmplify.fireball	tacticSpellAmplify	spellId=2		428	[Lv3] ファイヤーボール強化	3ターン目にファイヤーボールの威力が2.8倍になる。	multiplier=2.8;triggerTurn=3				3	max	effectType=tacticSpellAmplify;param.spellId=2;value.multiplier=2.8;value.triggerTurn=3		level-table	standard
attack	tacticSpellAmplify.blizzard	tacticSpellAmplify	spellId=3		429	[Lv1] ブリザード強化	1ターン目にブリザードの威力が1.3倍になる。	multiplier=1.3;triggerTurn=1				1	min	effectType=tacticSpellAmplify;param.spellId=3;value.multiplier=1.3;value.triggerTurn=1		level-table	standard
attack	tacticSpellAmplify.blizzard	tacticSpellAmplify	spellId=3		431	[Lv3] ブリザード強化	3ターン目にブリザードの威力が2.8倍になる。	multiplier=2.8;triggerTurn=3				3	max	effectType=tacticSpellAmplify;param.spellId=3;value.multiplier=2.8;value.triggerTurn=3		level-table	standard
attack	tacticSpellAmplify.thunder_bolt	tacticSpellAmplify	spellId=5		432	[Lv1] サンダーボルト強化	1ターン目にサンダーボルトの威力が1.3倍になる。	multiplier=1.3;triggerTurn=1				1	min	effectType=tacticSpellAmplify;param.spellId=5;value.multiplier=1.3;value.triggerTurn=1		level-table	standard
